Frame,Avg_R,Sigma_R
1,-0.874147767205641,0.023771366068760583
2,-0.8948737694282675,0.021861461673656206
3,-0.917599315148755,0.01851987840875757
4,-0.9340755984476948,0.016191854223913532
5,-0.9500379821229882,0.013586209647453128
6,-0.9635818305720171,0.011044782750776255
7,-0.9718042418889676,0.009453517587177496
8,-0.9796752844381942,0.007331180820417099
9,-0.9818354377563867,0.006584950042796781
10,-0.9840488152904453,0.0058306218923913945
11,-0.9809363019242177,0.006699824240130867
12,-0.976118084234613,0.008589435886959842
13,-0.9678120860675309,0.010727336969916072
14,-0.9569919256563453,0.01394253392647305
15,-0.9432149088666052,0.01672554493334126
16,-0.9282527378264709,0.020154238509096648
17,-0.9086172778125873,0.022986944797472795
18,-0.8930841963143449,0.02560967292514291
19,-0.8632695920665319,0.030153803047719568
20,-0.8370052159245037,0.03339008615022285
21,-0.7994826498352433,0.037917856934496966
22,-0.771633175036651,0.04050495018057744
23,-0.7366275720175159,0.04412546433497825
24,-0.7024191007701984,0.046267583320937715
25,-0.6700820438457227,0.049275860995105156
26,-0.6260811231208744,0.05128330327349744
27,-0.5920656432187579,0.053687441030886775
28,-0.5475448041620776,0.054736530828602
29,-0.5105283213608682,0.05645734507126767
30,-0.47042107574315484,0.05665341128671123
31,-0.42763520576225006,0.058179376699172766
32,-0.38152992074571007,0.05805061410020611
33,-0.3409953388942636,0.05950814016650685
34,-0.29305930985247475,0.05973886183522242
35,-0.25834197949121174,0.060712805180800286
36,-0.20571073969857726,0.06193722860907792
37,-0.16275744088778218,0.0629409752929311
38,-0.11215241834171591,0.06459815195808033
39,-0.06274888863972809,0.06528381887433626
40,-0.013040392271045037,0.06564494522166621
41,0.04180866078237543,0.06616635934685791
42,0.09214485799134967,0.06633734569384735
43,0.1394873919457319,0.06491126641678865
44,0.18497065522244893,0.0659272773857173
45,0.23337990830810745,0.06489927631233679
46,0.2696001588246411,0.06501349621548248
47,0.3230382571005361,0.06488103342186062
48,0.3624638062750031,0.06603397826032578
49,0.4051765353819604,0.06587838605951452
50,0.44597013193553386,0.06687112051116958
51,0.49204108637300625,0.06671424986651367
52,0.5223297210293091,0.0659726737320367
53,0.5685657713670521,0.06409495533074684
54,0.6010591968958537,0.06328142318306015
55,0.6406902891544577,0.05987043251279997
56,0.675309602751487,0.05785451125775768
57,0.7145979821084257,0.05391951861851498
58,0.7440542063569446,0.050302748274340045
59,0.7803709341823412,0.0453445168484844
60,0.8083231260858947,0.041476432978272554
61,0.8383920456482735,0.03620376088426849
62,0.8610813822910635,0.03244692222195876
63,0.8878767491570291,0.02707595030963977
64,0.90946981418555,0.022860655230647016
65,0.9281479903136034,0.018484950266185313
66,0.9432271574086715,0.014871918777376973
67,0.9551870486528503,0.01141920794926937
68,0.9616174476138852,0.009419018712872082
69,0.9650202401373281,0.00834995905419071
70,0.9645150205837777,0.008831898347329356
71,0.9598829941883029,0.010912158703075296
72,0.9523158440107385,0.013747322556693623
73,0.9386695517087577,0.017819572012705745
74,0.9225714527196228,0.02226974596796764
75,0.9028225659263092,0.02688468895562991
76,0.8837411601859124,0.03129761970718911
